,county_name,population,state_id
0,Abbeville,9703,41
1,Aiken,84154,41
2,Allendale,5168,41
3,Anderson,221781,41
4,Bamberg,6978,41
5,Barnwell,10725,41
6,Beaufort,167680,41
7,Berkeley,132652,41
8,Charleston,924636,41
9,Clarendon,10644,41
10,Colleton,8135,41
11,Darlington,20074,41
12,Dillon,11292,41
13,Dorchester,74170,41
14,Edgefield,8325,41
15,Florence,103046,41
16,Georgetown,31562,41
17,Greenville,815137,41
18,Greenwood,32152,41
19,Horry,426153,41
20,Kershaw,21881,41
21,Lexington,126934,41
22,Marlboro,10745,41
23,McCormick,4106,41
24,Newberry,14482,41
25,Oconee,27490,41
26,Orangeburg,29778,41
27,Pickens,74284,41
28,Richland,870946,41
29,Saluda,4267,41
30,Spartanburg,300600,41
31,Acadia,29302,18
32,Ascension,56055,18
33,Assumption,10546,18
34,Avoyelles,17239,18
35,Beauregard,12451,18
36,Bienville,6461,18
37,Bossier,82287,18
38,Caddo,316507,18
39,Calcasieu,212348,18
40,Catahoula,3207,18
41,Concordia,10729,18
42,De Soto,10238,18
43,East Baton Rouge,759385,18
44,East Carroll,3288,18
45,East Feliciana,8286,18
46,Evangeline,14427,18
47,Iberia,35546,18
48,Iberville,18772,18
49,Jefferson Davis,19163,18
50,Lafayette,371061,18
51,Lafourche,76038,18
52,Morehouse,11153,18
53,Natchitoches,23256,18
54,Orleans,947406,18
55,Ouachita,179996,18
56,Plaquemines,18614,18
57,Pointe Coupee,8464,18
58,Rapides,103234,18
59,Sabine,11423,18
60,St. Bernard,41234,18
61,St. Helena,1446,18
62,St. James,19046,18
63,St. John the Baptist,42700,18
64,St. Landry,39306,18
65,St. Martin,20556,18
66,St. Mary,39752,18
67,St. Tammany,234864,18
68,Tangipahoa,96919,18
69,Tensas,2493,18
70,Terrebonne,189317,18
71,Vernon,46790,18
72,West Baton Rouge,17226,18
73,West Carroll,3373,18
74,West Feliciana,1950,18
75,Winn,5919,18
76,Accomack,20638,47
77,Albemarle,39667,47
78,Alexandria,158185,47
79,Alleghany,7833,47
80,Amelia,1004,47
81,Amherst,13294,47
82,Appomattox,2284,47
83,Arlington,235764,47
84,Augusta,38789,47
85,Bland,786,47
86,Botetourt,13871,47
87,Buckingham,935,47
88,Charles City,73,47
89,Charlottesville,102164,47
90,Chesapeake,247172,47
91,Chesterfield,158850,47
92,Colonial Heights,18127,47
93,Culpeper,19873,47
94,Danville,42556,47
95,Dickenson,2201,47
96,Dinwiddie,1078,47
97,Emporia,5761,47
98,Fairfax,1162491,47
99,Falls Church,14494,47
100,Fauquier,30855,47
101,Fluvanna,10590,47
102,Fredericksburg,155414,47
103,Galax,6681,47
104,Goochland,601,47
105,Hampton,145534,47
106,Hanover,45409,47
107,Harrisonburg,74901,47
108,Henrico,201762,47
109,Hopewell,23020,47
110,Isle of Wight,21112,47
111,King George,10255,47
112,King William,5010,47
113,King and Queen,73,47
114,Loudoun,323723,47
115,Lunenburg,3431,47
116,Lynchburg,120877,47
117,Manassas,42596,47
118,Manassas Park,17081,47
119,Martinsville,13476,47
120,Mathews,1769,47
121,New Kent,851,47
122,Newport News,185069,47
123,Norfolk,343753,47
124,Norton,7415,47
125,Nottoway,6923,47
126,Patrick,3606,47
127,Petersburg,36502,47
128,Pittsylvania,10150,47
129,Poquoson,12382,47
130,Portsmouth,97454,47
131,Powhatan,447,47
132,Prince Edward,9106,47
133,Prince George,8840,47
134,Prince William,383129,47
135,Radford,16205,47
136,Rappahannock,1693,47
137,Richmond,1943099,47
138,Roanoke,265798,47
139,Rockbridge,3901,47
140,Salem,43397,47
141,Shenandoah,21441,47
142,Smyth,15230,47
143,Southampton,4504,47
144,Spotsylvania,8488,47
145,Stafford,23051,47
146,Staunton,25358,47
147,Virginia Beach,1500764,47
148,Waynesboro,22149,47
149,Williamsburg,88005,47
150,Winchester,74593,47
151,Wythe,11817,47
152,Ada,618945,12
153,Bannock,96881,12
154,Bear Lake,4392,12
155,Benewah,4409,12
156,Bingham,24189,12
157,Blaine,27873,12
158,Boise,3592,12
159,Bonner,16177,12
160,Bonneville,127087,12
161,Boundary,3669,12
162,Camas,493,12
163,Canyon,268247,12
164,Caribou,4703,12
165,Cassia,13093,12
166,Clearwater,6630,12
167,Gem,7987,12
168,Gooding,8009,12
169,Idaho,5809,12
170,Jerome,13483,12
171,Kootenai,185425,12
172,Latah,30335,12
173,Lemhi,3234,12
174,Minidoka,11303,12
175,Nez Perce,36299,12
176,Owyhee,4730,12
177,Payette,15535,12
178,Power,5530,12
179,Shoshone,8970,12
180,Twin Falls,65266,12
181,Valley,12773,12
182,Adair,41326,25
183,Andrew,9442,25
184,Audrain,17072,25
185,Barry,35068,25
186,Bates,9089,25
187,Bollinger,2009,25
188,Boone,382502,25
189,Buchanan,98180,25
190,Callaway,20420,25
191,Cape Girardeau,57558,25
192,Cedar,21696,25
193,Chariton,3301,25
194,Cole,49261,25
195,Cooper,10329,25
196,Dent,4901,25
197,Dunklin,21505,25
198,Gasconade,6422,25
199,Gentry,4200,25
200,Greene,596025,25
201,Hickory,2377,25
202,Howell,17359,25
203,Jackson,2818164,25
204,Jasper,204177,25
205,Laclede,15889,25
206,Maries,2284,25
207,McDonald,8582,25
208,Moniteau,8438,25
209,New Madrid,10969,25
210,Nodaway,14380,25
211,Oregon,2840,25
212,Ozark,1315,25
213,Pemiscot,11246,25
214,Perry,73757,25
215,Pettis,24170,25
216,Phelps,31902,25
217,Ralls,2532,25
218,Ray,10234,25
219,Reynolds,1644,25
220,Shannon,1888,25
221,St. Charles,360222,25
222,St. Francois,48390,25
223,St. Louis,3138234,25
224,Ste. Genevieve,6668,25
225,Stoddard,15851,25
226,Taney,24781,25
227,Adams,663387,5
228,Alamosa,11250,5
229,Arapahoe,658051,5
230,Archuleta,1932,5
231,Baca,2257,5
232,Bent,2768,5
233,Boulder,384223,5
234,Broomfield,72697,5
235,Chaffee,10320,5
236,Clear Creek,7913,5
237,Conejos,4164,5
238,Costilla,1620,5
239,Crowley,3620,5
240,Denver,2650725,5
241,Dolores,1040,5
242,Eagle,47776,5
243,Fremont,70371,5
244,Gilpin,962,5
245,Gunnison,9158,5
246,Hinsdale,550,5
247,Huerfano,3911,5
248,Kit Carson,4844,5
249,La Plata,23366,5
250,Larimer,413485,5
251,Las Animas,10023,5
252,Logan,115193,5
253,Mesa,196168,5
254,Moffat,9198,5
255,Montezuma,12223,5
256,Montrose,23299,5
257,Ouray,2844,5
258,Pitkin,10388,5
259,Prowers,9396,5
260,Pueblo,181509,5
261,Rio Blanco,4863,5
262,Rio Grande,6861,5
263,Routt,16812,5
264,Saguache,3033,5
265,Teller,9776,5
266,Weld,330869,5
267,Addison,3560,46
268,Bennington,6658,46
269,Caledonia,2615,46
270,Chittenden,157011,46
271,Grand Isle,166,46
272,Lamoille,3675,46
273,Rutland,20525,46
274,Windsor,9464,46
275,Adjuntas,4447,39
276,Aguada,5737,39
277,Aguadilla,266721,39
278,Aguas Buenas,3773,39
279,Aibonito,9482,39
280,Arecibo,133372,39
281,Arroyo,11043,39
282,Añasco,9667,39
283,Barceloneta,11225,39
284,Barranquitas,3074,39
285,Bayamón,170028,39
286,Cabo Rojo,24617,39
287,Caguas,84809,39
288,Camuy,12666,39
289,Canóvanas,33422,39
290,Carolina,139735,39
291,Cataño,23536,39
292,Cayey,15582,39
293,Ceiba,8651,39
294,Ciales,5749,39
295,Cidra,10266,39
296,Coamo,15135,39
297,Comerío,5071,39
298,Corozal,11831,39
299,Culebra,1078,39
300,Dorado,22392,39
301,Fajardo,77689,39
302,Florida,70002,39
303,Guayama,70803,39
304,Guayanilla,6116,39
305,Guaynabo,70542,39
306,Gurabo,11236,39
307,Guánica,10169,39
308,Hatillo,12459,39
309,Hormigueros,11358,39
310,Humacao,30354,39
311,Isabela,11707,39
312,Jayuya,2672,39
313,Juana Díaz,89767,39
314,Juncos,10021,39
315,Lajas,9000,39
316,Lares,5203,39
317,Las Piedras,6773,39
318,Loíza,4522,39
319,Luquillo,10475,39
320,Manatí,19234,39
321,Maricao,974,39
322,Maunabo,5123,39
323,Mayagüez,93426,39
324,Moca,7240,39
325,Morovis,5662,39
326,Naguabo,10056,39
327,Naranjito,3351,39
328,Orocovis,1105,39
329,Patillas,3779,39
330,Peñuelas,10732,39
331,Ponce,133624,39
332,Quebradillas,8782,39
333,Rincón,2793,39
334,Río Grande,19500,39
335,Sabana Grande,14395,39
336,Salinas,17317,39
337,San Germán,104886,39
338,San Juan,2043501,39
339,San Lorenzo,9808,39
340,San Sebastián,10229,39
341,Santa Isabel,12335,39
342,Toa Alta,18828,39
343,Toa Baja,45342,39
344,Trujillo Alto,44203,39
345,Utuado,8246,39
346,Vega Alta,12761,39
347,Vega Baja,27895,39
348,Vieques,3118,39
349,Villalba,2966,39
350,Yabucoa,15220,39
351,Yauco,81663,39
352,Aitkin,3493,23
353,Anoka,356409,23
354,Becker,13710,23
355,Beltrami,21263,23
356,Big Stone,3329,23
357,Blue Earth,55411,23
358,Carlton,21880,23
359,Carver,96686,23
360,Chisago,37982,23
361,Clay,399492,23
362,Cottonwood,8325,23
363,Crow Wing,35129,23
364,Dakota,436370,23
365,Faribault,9409,23
366,Fillmore,17934,23
367,Freeborn,22566,23
368,Goodhue,33238,23
369,Hennepin,3704233,23
370,Hubbard,5294,23
371,Isanti,17934,23
372,Itasca,22847,23
373,Kanabec,4259,23
374,Kandiyohi,27123,23
375,Kittson,2508,23
376,Koochiching,7646,23
377,Lac qui Parle,3633,23
378,Lake of the Woods,1245,23
