0,total,1990,553290,Alaska
1,under18,1990,177502,Alaska
2,total,1992,588736,Alaska
3,under18,1991,182180,Alaska
4,under18,1992,184878,Alaska
5,total,1994,603308,Alaska
6,under18,1994,187439,Alaska
7,total,1991,570193,Alaska
8,total,1993,599434,Alaska
9,under18,1993,187190,Alaska
10,total,1995,604412,Alaska
11,under18,1995,184990,Alaska
12,total,1996,608569,Alaska
13,under18,1996,185360,Alaska
14,under18,1997,188280,Alaska
15,under18,1998,192636,Alaska
16,total,1998,619933,Alaska
17,total,1997,612968,Alaska
18,under18,1999,191422,Alaska
19,total,1999,624779,Alaska
20,total,2000,627963,Alaska
21,under18,2000,190615,Alaska
22,total,2001,633714,Alaska
23,under18,2001,188771,Alaska
24,total,2002,642337,Alaska
25,under18,2002,188482,Alaska
26,total,2003,648414,Alaska
27,under18,2003,186843,Alaska
28,total,2004,659286,Alaska
29,under18,2004,186335,Alaska
30,total,2005,666946,Alaska
31,under18,2005,185304,Alaska
32,total,2006,675302,Alaska
33,under18,2006,185580,Alaska
34,total,2007,680300,Alaska
35,under18,2007,184344,Alaska
36,total,2008,687455,Alaska
37,under18,2008,183124,Alaska
38,under18,2013,188132,Alaska
39,total,2013,735132,Alaska
40,total,2009,698895,Alaska
41,under18,2009,186351,Alaska
42,under18,2010,187902,Alaska
43,total,2010,713868,Alaska
44,under18,2011,188329,Alaska
45,total,2011,723375,Alaska
46,under18,2012,188162,Alaska
47,total,2012,730307,Alaska
48,under18,2012,1117489,Alabama
49,total,2012,4817528,Alabama
50,under18,2010,1130966,Alabama
51,total,2010,4785570,Alabama
52,under18,2011,1125763,Alabama
53,total,2011,4801627,Alabama
54,total,2009,4757938,Alabama
55,under18,2009,1134192,Alabama
56,under18,2013,1111481,Alabama
57,total,2013,4833722,Alabama
58,total,2007,4672840,Alabama
59,under18,2007,1132296,Alabama
60,total,2008,4718206,Alabama
61,under18,2008,1134927,Alabama
62,total,2005,4569805,Alabama
63,under18,2005,1117229,Alabama
64,total,2006,4628981,Alabama
65,under18,2006,1126798,Alabama
66,total,2004,4530729,Alabama
67,under18,2004,1113662,Alabama
68,total,2003,4503491,Alabama
69,under18,2003,1113083,Alabama
70,total,2001,4467634,Alabama
71,under18,2001,1120409,Alabama
72,total,2002,4480089,Alabama
73,under18,2002,1116590,Alabama
74,under18,1999,1121287,Alabama
75,total,1999,4430141,Alabama
76,total,2000,4452173,Alabama
77,under18,2000,1122273,Alabama
78,total,1998,4404701,Alabama
79,under18,1998,1118252,Alabama
80,under18,1997,1122893,Alabama
81,total,1997,4367935,Alabama
82,total,1996,4331103,Alabama
83,total,1995,4296800,Alabama
84,under18,1995,1110553,Alabama
85,under18,1996,1112092,Alabama
86,total,1994,4260229,Alabama
87,total,1993,4214202,Alabama
88,under18,1993,1085606,Alabama
89,under18,1994,1097180,Alabama
90,under18,1992,1072873,Alabama
91,total,1992,4154014,Alabama
92,total,1991,4099156,Alabama
93,under18,1991,1060794,Alabama
94,under18,1990,1050041,Alabama
95,total,1990,4050055,Alabama
96,under18,1990,620933,Arkansas
97,total,1990,2356586,Arkansas
98,total,1991,2383144,Arkansas
99,under18,1991,626212,Arkansas
100,under18,1992,638269,Arkansas
101,total,1992,2415984,Arkansas
102,under18,1994,653842,Arkansas
103,total,1994,2494019,Arkansas
104,total,1993,2456303,Arkansas
105,under18,1993,643474,Arkansas
106,under18,1995,667671,Arkansas
107,total,1995,2535399,Arkansas
108,under18,1996,677912,Arkansas
109,total,1996,2572109,Arkansas
110,under18,1998,683637,Arkansas
111,total,1997,2601091,Arkansas
112,under18,1997,680203,Arkansas
113,total,1998,2626289,Arkansas
114,total,2000,2678588,Arkansas
115,under18,2000,680378,Arkansas
116,under18,1999,681940,Arkansas
117,total,1999,2651860,Arkansas
118,total,2002,2705927,Arkansas
119,under18,2002,678798,Arkansas
120,total,2001,2691571,Arkansas
121,under18,2001,679606,Arkansas
122,total,2004,2749686,Arkansas
123,under18,2004,683166,Arkansas
124,total,2003,2724816,Arkansas
125,under18,2003,679579,Arkansas
126,total,2006,2821761,Arkansas
127,under18,2006,697842,Arkansas
128,total,2005,2781097,Arkansas
129,under18,2005,689787,Arkansas
130,total,2008,2874554,Arkansas
131,under18,2008,705725,Arkansas
132,total,2007,2848650,Arkansas
133,under18,2007,702737,Arkansas
134,total,2009,2896843,Arkansas
135,under18,2009,707886,Arkansas
136,under18,2013,709866,Arkansas
137,total,2013,2959373,Arkansas
138,under18,2011,710576,Arkansas
139,total,2011,2938506,Arkansas
140,under18,2010,711947,Arkansas
141,total,2010,2922280,Arkansas
142,under18,2012,710471,Arkansas
143,total,2012,2949828,Arkansas
144,under18,2012,1617149,Arizona
145,total,2012,6551149,Arizona
146,under18,2011,1616353,Arizona
147,total,2011,6468796,Arizona
148,under18,2010,1628563,Arizona
149,total,2010,6408790,Arizona
150,under18,2013,1616814,Arizona
151,total,2013,6626624,Arizona
152,total,2009,6343154,Arizona
153,under18,2009,1627343,Arizona
154,total,2007,6167681,Arizona
155,under18,2007,1607895,Arizona
156,total,2008,6280362,Arizona
157,under18,2008,1628651,Arizona
158,total,2005,5839077,Arizona
159,under18,2005,1529168,Arizona
160,total,2006,6029141,Arizona
161,under18,2006,1574867,Arizona
162,total,2004,5652404,Arizona
163,under18,2004,1484454,Arizona
164,total,2003,5510364,Arizona
165,under18,2003,1453671,Arizona
166,total,2001,5273477,Arizona
167,under18,2001,1399015,Arizona
168,total,2002,5396255,Arizona
169,under18,2002,1427938,Arizona
170,under18,1999,1332396,Arizona
171,total,1999,5023823,Arizona
172,total,2000,5160586,Arizona
173,under18,2000,1373414,Arizona
174,total,1998,4883342,Arizona
175,under18,1998,1285794,Arizona
176,total,1997,4736990,Arizona
177,under18,1997,1237159,Arizona
178,under18,1996,1215285,Arizona
179,total,1996,4586940,Arizona
180,total,1995,4432499,Arizona
181,under18,1995,1173391,Arizona
182,total,1993,4065440,Arizona
183,under18,1993,1094233,Arizona
184,under18,1994,1119857,Arizona
185,total,1994,4245089,Arizona
186,under18,1992,1055572,Arizona
187,under18,1991,1028285,Arizona
188,total,1991,3788576,Arizona
189,total,1992,3915740,Arizona
190,under18,1990,1006040,Arizona
191,total,1990,3684097,Arizona
192,under18,2012,9209007,California
193,total,2012,37999878,California
194,under18,2011,9252336,California
195,total,2011,37668681,California
196,under18,2010,9284094,California
197,total,2010,37333601,California
198,under18,2013,9174877,California
199,total,2013,38332521,California
200,total,2009,36961229,California
201,under18,2009,9294501,California
202,total,2007,36250311,California
203,under18,2007,9335620,California
204,total,2008,36604337,California
205,under18,2008,9321621,California
206,total,2005,35827943,California
207,under18,2005,9405565,California
208,total,2006,36021202,California
209,under18,2006,9370884,California
210,total,2003,35253159,California
211,under18,2003,9404594,California
212,total,2004,35574576,California
213,under18,2004,9418497,California
214,total,2001,34479458,California
215,under18,2001,9325466,California
216,total,2002,34871843,California
217,under18,2002,9365142,California
218,under18,1999,9207878,California
219,total,1999,33499204,California
220,total,2000,33987977,California
221,under18,2000,9267089,California
222,under18,1998,9163238,California
223,total,1998,32987675,California
224,under18,1997,9135359,California
225,total,1997,32486010,California
226,under18,1996,9079519,California
227,total,1996,32018834,California
228,total,1995,31696582,California
229,under18,1995,8920578,California
230,total,1993,31274928,California
231,under18,1993,8624810,California
232,under18,1994,8790058,California
233,total,1994,31484435,California
234,total,1991,30470736,California
235,under18,1991,8245605,California
236,under18,1992,8439647,California
237,total,1992,30974659,California
238,under18,1990,7980501,California
239,total,1990,29959515,California
240,total,1990,3307618,Colorado
241,under18,1990,881640,Colorado
242,total,1992,3495939,Colorado
243,under18,1992,925577,Colorado
244,under18,1991,896537,Colorado
