,state_id,state_name,population
0,0,Alabama,4328748
1,1,Alaska,752125
2,2,Arizona,9668452
3,3,Arkansas,2689595
4,4,California,58326433
5,5,Colorado,7421532
6,6,Connecticut,4262191
7,7,Delaware,509996
8,8,District of Columbia,4810669
9,9,Florida,30776244
10,10,Georgia,10555897
11,11,Hawaii,1917481
12,12,Idaho,1717935
13,13,Illinois,18110364
14,14,Indiana,6184874
15,15,Iowa,3251511
16,16,Kansas,2583956
17,17,Kentucky,3165042
18,18,Louisiana,4694908
19,19,Maine,594776
20,20,Maryland,7344263
21,21,Massachusetts,8083801
22,22,Michigan,10175107
23,23,Minnesota,7245019
24,24,Mississippi,2032957
25,25,Missouri,7484569
26,26,Montana,787282
27,27,Nebraska,1888738
28,28,Nevada,4645087
29,29,New Hampshire,805252
30,30,New Jersey,6173614
31,31,New Mexico,2059958
32,32,New York,37146680
33,33,North Carolina,9149649
34,34,North Dakota,713703
35,35,Ohio,13642824
36,36,Oklahoma,3770514
37,37,Oregon,5131915
38,38,Pennsylvania,14865747
39,39,Puerto Rico,4245787
40,40,Rhode Island,1719600
41,41,South Carolina,4718222
42,42,South Dakota,709863
43,43,Tennessee,6130878
44,44,Texas,33378026
45,45,Utah,5085280
46,46,Vermont,250448
47,47,Virginia,8268006
48,48,Washington,10022453
49,49,West Virginia,1226084
50,50,Wisconsin,5815545
51,51,Wyoming,471073
